userId,movieId,rating,timestamp
1001,1,4.0,964982703
1001,3,4.0,964981247
1001,6,4.0,964982224
1001,47,5.0,964983815
1001,50,5.0,964982931
1001,70,3.0,964982400
1001,101,5.0,964980868
1001,110,4.0,964982176
1001,151,5.0,964984041
1001,157,5.0,964984100
1001,163,5.0,964983650
1001,216,5.0,964981208
1001,223,3.0,964980985
1001,231,5.0,964981179
1001,235,4.0,964980908
1001,260,5.0,964981680
1001,296,3.0,964982967
1001,316,3.0,964982310
1001,333,5.0,964981179
1001,349,4.0,964982563
1001,356,4.0,964980962
1001,362,5.0,964982588
1001,367,4.0,964981710
1001,423,3.0,964982363
1001,441,4.0,964980868
1001,457,5.0,964981909
1001,480,4.0,964982346
1001,500,3.0,964981208
1001,527,5.0,964984002
1001,543,4.0,964981179
1001,552,4.0,964982653
1001,553,5.0,964984153
1001,590,4.0,964982546
1001,592,4.0,964982271
1001,593,4.0,964983793
1001,596,5.0,964982838
1001,608,5.0,964982931
1001,648,3.0,964982563
1001,661,5.0,964982838
1001,673,3.0,964981775
1001,733,4.0,964982400
1001,736,3.0,964982653
1001,780,3.0,964984086
1001,804,4.0,964980499
1001,919,5.0,964982475
1001,923,5.0,964981529
1001,940,5.0,964982176
1001,943,4.0,964983614
1001,954,5.0,964983219
1001,1009,3.0,964981775
1001,1023,5.0,964982681
1001,1024,5.0,964982876
1001,1025,5.0,964982791
1001,1029,5.0,964982855
1001,1030,3.0,964982903
1001,1031,5.0,964982653
1001,1032,5.0,964982791
1001,1042,4.0,964981179
1001,1049,5.0,964982400
1001,1060,4.0,964980924
1001,1073,5.0,964981680
1001,1080,5.0,964981327
1001,1089,5.0,964982951
1001,1090,4.0,964984018
1001,1092,5.0,964983484
1001,1097,5.0,964981680
1001,1127,4.0,964982513
1001,1136,5.0,964981327
1001,1196,5.0,964981827
1001,1197,5.0,964981872
1001,1198,5.0,964981827
1001,1206,5.0,964983737
1001,1208,4.0,964983250
1001,1210,5.0,964980499
1001,1213,5.0,964982951
1001,1214,4.0,964981855
1001,1219,2.0,964983393
1001,1220,5.0,964981909
1001,1222,5.0,964981909
1001,1224,5.0,964984018
1001,1226,5.0,964983618
1001,1240,5.0,964983723
1001,1256,5.0,964981442
